compatibility,outfit_sample
1,"['220789000_7','220789000_1','0','220789000_2']"
1,"['217731762_3','217731762_1','217731762_4','217731762_2']"
1,"['222254436_9','222254436_2','0','222254436_3']"
1,"['187336855_3','187336855_1','187336855_4','187336855_2']"
1,"['128065066_5','128065066_1','0','128065066_2']"
1,"['221416203_5','221416203_1','0','221416203_2']"
1,"['200423746_5','200423746_1','0','200423746_2']"
1,"['224928836_4','224928836_1','0','224928836_2']"
1,"['222367079_8','222367079_1','0','222367079_3']"
1,"['215621008_5','215621008_1','215621008_6','215621008_2']"
1,"['220414558_5','220414558_1','0','220414558_3']"
1,"['221193326_5','221193326_1','0','221193326_3']"
1,"['224782633_5','224782633_1','0','224782633_2']"
1,"['222835685_6','222835685_1','0','222835685_2']"
1,"['217104165_5','217104165_1','0','217104165_2']"
1,"['219501076_4','219501076_1','0','219501076_2']"
1,"['201093122_5','201093122_1','0','201093122_2']"
1,"['224538472_3','224538472_1','0','224538472_2']"
1,"['218867023_5','218867023_1','0','218867023_2']"
1,"['221702292_3','0','0','221702292_1']"
1,"['224478967_7','224478967_1','0','224478967_2']"
1,"['203936663_4','203936663_1','0','203936663_2']"
1,"['223795942_5','0','0','223795942_1']"
1,"['217876814_4','217876814_1','0','217876814_2']"
1,"['196505788_3','196505788_1','196505788_4','196505788_2']"
1,"['220577842_6','0','220577842_7','220577842_1']"
1,"['220628694_5','220628694_1','220628694_6','220628694_2']"
1,"['206687200_4','206687200_1','0','206687200_2']"
1,"['205825705_4','205825705_1','0','205825705_2']"
1,"['194731357_5','194731357_1','0','194731357_2']"
1,"['219088546_4','219088546_1','0','219088546_2']"
1,"['220472687_4','0','0','220472687_1']"
1,"['221967474_5','221967474_1','0','221967474_2']"
1,"['221949457_4','221949457_1','0','221949457_2']"
1,"['223139822_5','223139822_1','0','223139822_2']"
1,"['224912426_4','0','0','224912426_1']"
1,"['225248178_5','225248178_1','0','225248178_2']"
1,"['212801792_3','212801792_1','0','212801792_2']"
1,"['218980994_7','0','0','218980994_1']"
1,"['201087100_3','201087100_1','0','201087100_2']"
1,"['220215971_4','220215971_1','0','220215971_2']"
1,"['225272408_4','225272408_1','0','225272408_2']"
1,"['224133848_3','0','0','224133848_1']"
1,"['222901009_4','222901009_1','0','222901009_2']"
1,"['224362389_3','0','0','224362389_1']"
1,"['212377594_5','212377594_1','212377594_6','212377594_2']"
1,"['222459574_6','222459574_1','0','222459574_2']"
1,"['211094404_4','211094404_1','211094404_5','211094404_2']"
1,"['219734465_5','219734465_1','0','219734465_2']"
1,"['224937562_4','224937562_1','0','224937562_2']"
1,"['211176548_5','211176548_1','211176548_6','211176548_2']"
1,"['224180596_6','224180596_1','0','224180596_2']"
1,"['204630967_4','0','0','204630967_1']"
1,"['213094895_6','213094895_1','0','213094895_2']"
1,"['224882752_3','0','0','224882752_1']"
1,"['223366086_4','0','0','223366086_1']"
1,"['219277977_3','219277977_1','0','219277977_2']"
1,"['221704859_5','221704859_1','0','221704859_2']"
1,"['222362508_7','222362508_1','0','222362508_2']"
1,"['215841438_6','215841438_1','0','215841438_2']"
1,"['218398071_3','218398071_1','218398071_4','218398071_2']"
1,"['224188252_3','224188252_1','224188252_4','224188252_2']"
1,"['218510377_4','218510377_1','0','218510377_2']"
1,"['220396695_4','220396695_1','220396695_5','220396695_2']"
1,"['221830789_2','0','221830789_3','221830789_1']"
1,"['200058092_5','200058092_1','0','200058092_2']"
1,"['220416468_4','220416468_1','0','220416468_2']"
1,"['221146649_2','0','0','221146649_1']"
1,"['202236603_6','202236603_1','0','202236603_2']"
1,"['224398651_6','224398651_1','224398651_7','224398651_2']"
1,"['217903619_4','217903619_1','217903619_5','217903619_2']"
1,"['217784643_8','217784643_1','0','217784643_2']"
1,"['222766884_5','222766884_1','0','222766884_2']"
1,"['220796722_6','0','0','220796722_2']"
1,"['223557561_3','223557561_1','0','223557561_2']"
1,"['220334363_3','0','220334363_4','220334363_1']"
1,"['220151175_4','220151175_1','0','220151175_2']"
1,"['222292559_5','222292559_1','0','222292559_2']"
1,"['225163882_7','225163882_1','0','225163882_2']"
1,"['183516414_3','183516414_1','183516414_5','183516414_2']"
1,"['221391582_5','221391582_1','221391582_6','221391582_2']"
1,"['135184530_5','135184530_1','0','135184530_2']"
1,"['216806995_4','216806995_1','0','216806995_2']"
1,"['211739162_4','211739162_1','0','211739162_2']"
1,"['218452994_4','218452994_1','0','218452994_2']"
1,"['219894066_4','219894066_1','0','219894066_2']"
1,"['222224661_5','222224661_1','0','222224661_2']"
1,"['209554017_4','209554017_1','0','209554017_2']"
1,"['223851892_5','223851892_1','0','223851892_2']"
1,"['219602311_4','219602311_1','0','219602311_2']"
1,"['191733627_4','0','191733627_5','191733627_1']"
1,"['224937068_3','224937068_1','0','224937068_2']"
1,"['221730918_3','0','0','221730918_1']"
1,"['197445208_3','197445208_1','197445208_4','197445208_2']"
1,"['135664890_4','135664890_1','135664890_5','135664890_2']"
1,"['209516300_5','209516300_1','209516300_7','209516300_2']"
1,"['212477079_4','212477079_1','0','212477079_2']"
1,"['218669257_3','0','0','218669257_1']"
1,"['220757379_2','0','0','220757379_1']"
1,"['221149154_4','221149154_1','0','221149154_2']"
1,"['219893027_3','219893027_1','0','219893027_2']"
1,"['115385441_4','115385441_1','0','115385441_2']"
1,"['205581601_3','205581601_1','0','205581601_2']"
1,"['225335447_5','225335447_1','0','225335447_2']"
1,"['222926229_4','222926229_1','222926229_5','222926229_2']"
1,"['218439019_5','218439019_1','218439019_6','218439019_2']"
1,"['217619745_5','217619745_1','0','217619745_2']"
1,"['217718123_5','217718123_1','217718123_6','217718123_2']"
1,"['214550356_3','214550356_1','214550356_4','214550356_2']"
1,"['210991525_5','210991525_1','0','210991525_2']"
1,"['173226287_3','173226287_1','0','173226287_2']"
1,"['220226908_4','220226908_1','0','220226908_2']"
1,"['208323079_3','208323079_1','0','208323079_2']"
1,"['218936984_5','0','0','218936984_1']"
1,"['204417060_5','204417060_1','204417060_6','204417060_2']"
1,"['225069540_5','225069540_1','0','225069540_2']"
1,"['223697332_5','0','0','223697332_1']"
1,"['207367471_5','207367471_1','0','207367471_2']"
1,"['225004214_6','225004214_1','0','225004214_2']"
1,"['221517745_4','221517745_1','0','221517745_2']"
1,"['219452047_4','219452047_1','0','219452047_2']"
1,"['222617439_9','222617439_1','0','222617439_2']"
1,"['199626860_5','199626860_1','0','199626860_2']"
1,"['222531291_8','222531291_1','0','222531291_2']"
1,"['215487908_3','215487908_1','215487908_4','215487908_2']"
1,"['199085374_4','199085374_1','199085374_5','199085374_2']"
1,"['221731280_5','221731280_1','0','221731280_3']"
1,"['224084236_7','224084236_1','0','224084236_2']"
1,"['222021882_6','222021882_1','0','222021882_2']"
1,"['224106069_6','224106069_1','0','224106069_2']"
1,"['220493218_5','220493218_1','0','220493218_2']"
1,"['222429996_5','222429996_1','222429996_6','222429996_2']"
1,"['218527235_4','218527235_1','0','218527235_2']"
1,"['214069754_4','214069754_1','0','214069754_2']"
1,"['215544510_4','215544510_1','215544510_5','215544510_2']"
1,"['215773284_5','215773284_1','215773284_6','215773284_2']"
1,"['187694990_6','187694990_1','187694990_7','187694990_2']"
1,"['221980239_5','221980239_1','0','221980239_2']"
1,"['195189464_5','195189464_1','195189464_6','195189464_2']"
1,"['198931617_3','198931617_1','0','198931617_2']"
1,"['224879362_6','224879362_1','224879362_7','224879362_2']"
1,"['221735849_4','0','0','221735849_1']"
1,"['219500649_6','219500649_1','0','219500649_2']"
1,"['209306687_5','209306687_1','0','209306687_2']"
1,"['224033748_6','224033748_1','0','224033748_2']"
1,"['224923028_3','224923028_1','0','224923028_2']"
1,"['174227073_4','174227073_1','0','174227073_2']"
1,"['222980923_5','222980923_1','0','222980923_2']"
1,"['222005831_3','0','0','222005831_1']"
1,"['219478983_5','219478983_1','0','219478983_2']"
1,"['163117245_4','163117245_1','0','163117245_2']"
1,"['200342841_3','200342841_1','0','200342841_2']"
